City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,praia da vitoria,38.7333,-27.0667,293.01,100,100,5.9,PT,1700929577
83,port augusta,-32.5,137.7667,290.03,77,0,6.92,AU,1700929578
84,gereida,11.2811,25.1414,306.1,19,30,3.16,SD,1700929578
85,vernon,50.2581,-119.2691,274.35,85,68,1.03,CA,1700929578
86,kyneton,-37.25,144.4333,286.58,95,91,1.34,AU,1700929579
87,illizi,26.4833,8.4667,293.04,32,0,2.0,DZ,1700929579
88,novyy urengoy,66.0833,76.6333,252.86,81,0,5.2,RU,1700929466
89,tercan,39.7794,40.3925,277.69,96,98,2.46,TR,1700929579
90,raja,8.4596,25.678,306.07,25,55,1.29,SS,1700929579
91,rio grande,-32.035,-52.0986,296.21,61,77,3.95,BR,1700929562
92,mitsamiouli,-11.3847,43.2844,300.84,77,98,3.13,KM,1700929579
93,georgetown,5.4112,100.3354,300.38,86,20,1.54,MY,1700929334
94,adam,22.3756,57.5233,298.54,38,17,4.18,OM,1700929579
95,saldanha,-33.0117,17.9442,294.18,73,75,9.82,ZA,1700929579
96,kipushi,-11.7667,27.2333,294.36,76,96,2.46,CD,1700929580
97,wanxian,30.8039,108.3897,285.93,91,96,1.0,CN,1700929580
98,naifaru,5.4444,73.3657,301.51,72,40,2.45,MV,1700929580
99,taro,-8.3862,115.28,296.15,95,100,0.4,ID,1700929580
100,saint-joseph,-21.3667,55.6167,297.36,75,37,4.84,RE,1700929580
101,gelendost,38.1208,31.0153,284.29,81,100,9.35,TR,1700929580
102,san patricio,28.017,-97.5169,293.2,75,87,6.9,US,1700929580
103,xining,36.6167,101.7667,273.87,45,2,0.95,CN,1700929580
104,arraial do cabo,-22.9661,-42.0278,298.13,53,75,4.63,BR,1700929581
105,mount pearl,47.5166,-52.7813,273.79,86,100,6.17,CA,1700929581
106,newman,37.3138,-121.0208,279.39,70,0,0.89,US,1700929581
107,nishinoomote,30.7333,131.0,289.95,68,62,4.59,JP,1700929581
108,broome,42.2506,-75.833,275.31,73,100,2.24,US,1700929581
109,san julian,21.0167,-102.1667,289.29,36,3,1.87,MX,1700929581
110,lebu,-37.6167,-73.65,287.72,75,65,7.85,CL,1700929581
111,ancud,-41.8697,-73.8203,286.39,68,59,3.84,CL,1700929581
112,batu pahat,1.8548,102.9325,296.52,94,100,2.51,MY,1700929582
113,tessaoua,13.7574,7.9874,307.53,28,75,1.96,NE,1700929582
114,talnakh,69.4865,88.3972,249.94,98,40,2.63,RU,1700929582
115,barkhan,29.8977,69.5256,289.82,37,100,1.18,PK,1700929582
116,ribeira grande,38.5167,-28.7,293.37,100,75,5.36,PT,1700929582
117,kurumkan,54.3,110.3,253.85,90,100,0.96,RU,1700929582
118,asha,54.9973,57.2722,274.36,98,100,3.58,RU,1700929475
119,avarua,-21.2078,-159.775,297.18,83,75,5.14,CK,1700929582
120,vorgashor,67.5833,63.95,261.57,88,90,3.12,RU,1700929582
121,dudinka,69.4058,86.1778,244.51,100,29,1.35,RU,1700929583
122,ust'-ilimsk,58.0006,102.6619,252.94,100,89,1.0,RU,1700929583
123,high rock,26.6208,-78.2833,297.16,78,88,5.07,BS,1700929583
124,farsan,32.2569,50.561,277.17,50,38,1.8,IR,1700929583
125,belyy yar,53.6039,91.3903,264.09,100,93,0.0,RU,1700929583
126,kimbe,-5.5502,150.1429,297.63,94,45,1.47,PG,1700929583
127,val-d'or,48.1002,-77.7828,271.2,80,20,5.66,CA,1700929583
128,kavaratti,10.5669,72.642,301.97,72,88,4.01,IN,1700929583
129,sanctuary point,-35.1114,150.629,292.77,87,12,2.79,AU,1700929583
130,lihue,21.9789,-159.3672,293.73,88,0,3.09,US,1700929583
131,bredasdorp,-34.5322,20.0403,292.58,54,100,3.78,ZA,1700929584
132,port lincoln,-34.7333,135.8667,288.14,71,99,4.74,AU,1700929584
133,tyukhtet,56.5389,89.3011,268.56,92,100,5.25,RU,1700929584
134,novodvinsk,64.4165,40.8122,257.47,99,100,1.4,RU,1700929584
135,prince rupert,54.3161,-130.3201,279.98,100,100,1.03,CA,1700929584
136,myskhako,44.6714,37.7433,289.03,75,100,9.72,RU,1700929584
137,esmeraldas,-19.7625,-44.3139,301.89,47,78,2.18,BR,1700929584
138,st. john's,47.5649,-52.7093,274.25,86,100,6.17,CA,1700929538
139,hamilton,39.1834,-84.5333,277.99,63,0,3.09,US,1700929584
140,soroca,48.1558,28.2975,273.93,73,100,2.96,MD,1700929584
141,xique xique,-10.8217,-42.7311,307.32,36,27,1.63,BR,1700929585
142,kapit,2.0167,112.9333,296.71,99,100,0.21,MY,1700929585
143,alice springs,-23.7,133.8833,296.9,41,98,2.06,AU,1700929585
144,ust-nera,64.5667,143.2,240.32,100,79,2.72,RU,1700929585
145,kodiak,57.79,-152.4072,276.88,100,100,0.0,US,1700929585
146,hermanus,-34.4187,19.2345,292.1,67,99,3.79,ZA,1700929441
147,karratha,-20.7377,116.8463,301.66,56,84,1.47,AU,1700929585
148,hasaki,35.7333,140.8333,281.09,61,94,4.11,JP,1700929585
149,tazacorte,28.629,-17.9293,295.69,75,75,3.09,ES,1700929585
150,okhotsk,59.3833,143.3,252.44,84,100,9.61,RU,1700929451
151,waingapu,-9.6567,120.2641,300.62,80,100,1.31,ID,1700929585
152,buulobarde,3.8538,45.5674,302.68,44,64,4.15,SO,1700929585
153,torres,-29.3353,-49.7269,296.41,60,17,3.53,BR,1700929586
154,tehri,30.3833,78.4833,286.93,59,27,1.9,IN,1700929586
155,port-vila,-17.7338,168.3219,291.93,100,20,1.54,VU,1700929524
156,igarka,67.4667,86.5833,245.72,98,13,1.36,RU,1700929586
157,bo phloi,14.3236,99.5161,296.89,74,90,2.15,TH,1700929586
158,weno,7.4515,151.8468,300.12,94,75,2.06,FM,1700929586
159,luderitz,-26.6481,15.1594,295.6,52,1,11.3,NA,1700929586
160,kutahya,39.4242,29.9833,282.64,76,97,7.35,TR,1700929586
161,atar,20.5169,-13.0499,302.74,10,0,1.82,MR,1700929586
